_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
615,615,000554-B02,WELLINGTON STREET YARD - OFFICE,677 WELLINGTON ST W,TORONTO,Spadina-Fort York,Metro Toronto,South,Citizen-Focused Services Group B,Office Building - Small,City Use,Transportation Services,Transportation Services,City of Toronto,201,2164,1950,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4070560102593, 43.6414013909484]]}"
616,616,001048-B04,STANLEY PARK SOUTH - OUTDOOR POOL SERVICE BLDG,700 WELLINGTON ST W,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,232,2497,1978,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.408273497195, 43.6415611495782]]}"
617,617,001048-B01,STANLEY PARK SOUTH - NIAGARA COMMUNITY CENTRE,700 WELLINGTON ST W,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,260,2799,1977,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.408273497195, 43.6415611495782]]}"
618,618,001063-B01,DAVID CROMBIE PARK - TDSB UNDERGROUND PARKING ACCESS BLDG,235 THE ESPLANADE,TORONTO,Spadina-Fort York,None,South,Other Organizations,Park Fieldhouse,City Use,Toronto District School Board,Toronto District School Board,TDSB,22,235,2005,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3650957895961, 43.6493334097875]]}"
619,619,001612-B01,UNDERGROUND PARKING GARAGE,246 THE ESPLANADE,TORONTO,Toronto Centre,Toronto (Old),South,Internal Services Group,Parking Garage - Below Grade,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,10681,114964,1992,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3647413959783, 43.6498503802646]]}"
620,620,005146-B01,PARKDALE WATER PUMPING STATION,71 THE QUEENSWAY,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group B,Pumping Station - Above Ground,Potentially Surplus,Toronto Water,Toronto Water,City of Toronto,461,4964,1950,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.452859030054, 43.639429249681]]}"
621,621,005146-B02,PARKDALE WATER PUMPING STATION - WATER TOWER,71 THE QUEENSWAY,TORONTO,Parkdale-High Park,Toronto (Amal),South,Citizen-Focused Services Group B,Water Tank,City Use,Toronto Water,Toronto Water,City of Toronto,63,680,1950,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.452859030054, 43.639429249681]]}"
622,622,000579-B11,HUMBER WASTEWATER TP - PRIMARY SLUDGE PUMPING STATION NO. 2,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,200,2153,1968,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
623,623,000579-B05,HUMBER WASTEWATER TP - RAS PUMP STATION'S ELECTRICAL BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,115,1238,1996,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
624,624,000579-B04,HUMBER WASTEWATER TP - FILTERED PLANT WATER BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,580,6243,2002,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
625,625,000579-B03,HUMBER WASTEWATER TP - RETURN SLUDGE PUMPING STATION SOUTH,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,580,6243,1956,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
626,626,005630-B03,R.L. CLARK WTP - ADMINISTRATION BLDG,45 TWENTY THIRD ST,ETOBICOKE,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Office Building - Large,City Use,Toronto Water,Toronto Water,City of Toronto,1765,18998,1968,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5197024374409, 43.5941279320896]]}"
627,627,006153-B02,SCARBOROUGH BLUFFS PARK - TENNIS CLUBHOUSE,61 UNDERCLIFF DR,TORONTO,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,102,1098,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2412703870427, 43.7054854053956]]}"
628,628,006980-B01,LEASED ADMINISTRATIVE OFFICE,375 UNIVERSITY AVE,TORONTO,Spadina-Fort York,Toronto (Amal),South,None,Office Building - Large,City Use,Landlord,Landlord,Third Party Organization,909,9784,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3871007690788, 43.6535687527759]]}"
629,629,000554-B04,WELLINGTON STREET YARD - WEST SALT STORAGE DOME,701 WELLINGTON ST W,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group B,Salt Dome/Storage,City Use,Transportation Services,Transportation Services,City of Toronto,982,10568,1977,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.407710586465, 43.6409725286648]]}"
630,630,001085-B02,INDUSTRIAL BUILDING - BLDG NO. 7,805 WELLINGTON ST W,TORONTO,Spadina-Fort York,Toronto (Old),South,Internal Services Group,Warehouse/Large Storage,Potentially Surplus,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,672,7233,1909,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4100783607571, 43.6407938300733]]}"
631,631,001085-B01,FORMER HOMES FIRST SOCIETY - STRACHAN HOUSE,805A WELLINGTON ST W,TORONTO,Spadina-Fort York,Toronto (Old),South,Internal Services Group,Shelter/Hostel,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,3900,41984,1909,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4108641607845, 43.6407209672495]]}"
632,632,000516-B16,HIGH PARK - REFRESHMENT BOOTH NO. 1 (#2),250 WEST RD,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,87,936,1957,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4665847699187, 43.6515110875127]]}"
633,633,001074-B01,ELLIS AVENUE SEWAGE PUMPING STATION,91A THE QUEENSWAY,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,21,224,1968,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4671780526689, 43.6374456907353]]}"
634,634,005157-B01,SWANSEA SEWAGE PUMPING STATION,110 THE QUEENSWAY,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,58,624,1959,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4736239328393, 43.6358790667457]]}"
635,635,000579-B22,SOUTH HUMBER PARK - WASHROOM,120 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,65,700,1959,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4771057611304, 43.6328980267581]]}"
636,636,000579-B23,QUEENSWAY SEWAGE PUMPING STATION,120 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Toronto (Amal),West,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,120,1292,1995,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4771057611304, 43.6328980267581]]}"
637,637,000579-B18,HUMBER WASTEWATER TP - HIGH PRESSURE BLOWER BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,1500,16146,1978,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
638,638,000579-B14,HUMBER WASTEWATER TP - ADMINISTRATION BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Office Building - Large,City Use,Toronto Water,Toronto Water,City of Toronto,6000,64583,1957,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
639,639,006256-B01,THE QUEENSWAY EMPLOYMENT & SOCIAL SERVICES,779 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,None,Office Building - Large,City Use,Toronto Employment & Social Services,Toronto Employment & Social Services,Third Party Organization,2090,22500,,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5051452823111, 43.6244675340155]]}"
640,640,007764-B01,LEASED SPACE FOR CONSTITUENCY OFFICE (MORLEY),"641 THE QUEENSWAY, UNIT B",ETOBICOKE,Etobicoke-Lakeshore,None,West,None,Retail Services Building,City Use,Commercial Firm,Commercial Firm,THIRD PARTY,148,1592,1991,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.497666773005, 43.6272650631037]]}"
641,641,007249-B01,PF&R SERVICE BUILDING,8 UNWIN AVE,TORONTO,Toronto-Danforth,Toronto (Amal),South,None,Yard Service Building,City Use,Landlord,Landlord,Third Party Organization,914,9838,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.349396720714, 43.6376854025652]]}"
642,642,007618-B01,CREATETO - STORAGE BUILDING,242 UNWIN AVE,TORONTO,Toronto-Danforth,None,South,Affiliated Corporations and Organizations,Warehouse & Office,City Use,CreateTO,CreateTO,TEDCO,230,2480,1981,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3427662073515, 43.6417366270428]]}"
643,643,007619-B01,CREATETO - WAREHOUSE & OFFICE BUILDING,274 UNWIN AVE,TORONTO,Toronto-Danforth,None,South,Affiliated Corporations and Organizations,Warehouse & Office,City Use,CreateTO,CreateTO,TEDCO,761,8187,1979,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3414411251441, 43.6423425064971]]}"
644,644,000551-B01,CLARKE BEACH PARK - SNACK BAR & WASHROOM,275 UNWIN AVE,TORONTO,Toronto-Danforth,Toronto (Old),South,Citizen-Focused Services Group A,Public Lavatory,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,111,1195,1935,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3416277597055, 43.6411752600952]]}"
645,645,000551-B03,CHERRY BEACH SPORTS FIELDS - WASHROOM,275 UNWIN AVE,TORONTO,Toronto-Danforth,Toronto (Amal),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,94,1006,2012,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3416277597055, 43.6411752600952]]}"
646,646,007655-B01,KING - LIBERTY PEDESTRIAN / CYCLE BRIDGE,125 WESTERN BATTERY RD (NE SIDE),TORONTO,Spadina-Fort York,None,South,Citizen-Focused Services Group B,Tunnel,City Use,Transportation Services,Transportation Services,City of Toronto,,,2021,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4167339538385, 43.6398679132201]]}"
647,647,007647-B01,ZEN KING WEST CONDOMINIUM - CHILD CARE CENTRE,"19 WESTERN BATTERY RD, UNIT 2",TORONTO,Spadina-Fort York,None,South,Internal Services Group,Child Care Centre,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,465,5000,2020,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4113292247433, 43.6395696297471]]}"
648,648,002694-B01,ETOBICOKE VALLEY PARK - CONCESSION BLDG,72A WESTHEAD RD,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,79,850,1973,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5569239297227, 43.604631833647]]}"
649,649,002181-B01,ESTHER LORRIE PARK - WASHROOM & MAINTENANCE BLDG,50 WESTHUMBER BLVD,TORONTO,Etobicoke North,Etobicoke,West,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,111,1195,,1,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5797490508387, 43.7274700007205]]}"
650,650,000579-B07,HUMBER WASTEWATER TP - DISINFECTION FACILITY,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,1160,12486,1957,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
651,651,000579-B54,HUMBER WASTEWATER TP - DISTRICT OPERATIONS SERVICE STORAGE,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,40,431,1989,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
652,652,000579-B55,HUMBER WASTEWATER TP - PLANT WATER PUMP STATION BUILDING,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,44,470,2018,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
653,653,000579-B52,HUMBER WASTEWATER TP - ENGINE ROOM & CO-GENERATION BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,2580,27771,1957,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
654,654,002821-B01,WEST MALL OUTDOOR RINK SERVICE BUILDING & WASHROOM,370 THE WEST MALL,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Rink Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,725,7804,1964,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5660136455739, 43.6416950792563]]}"
655,655,002821-B02,WEST MALL OUTDOOR POOL SERVICE BUILDING & WASHROOM,380 THE WEST MALL,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Pool Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,293,3154,1978,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5669808322168, 43.6425638963621]]}"
656,656,002821-B07,ETOBICOKE CIVIC CENTRE - MECHANICAL & ELECTRICAL BUILDING,390 THE WEST MALL,TORONTO,Etobicoke Centre,Etobicoke,West,Internal Services Group,Control/Operating Building,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,543,5850,1958,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5671389971079, 43.6429026782733]]}"
657,657,005581-B01,ETOBICOKE CIVIC CENTRE,399 THE WEST MALL,TORONTO,Etobicoke Centre,Etobicoke,West,Internal Services Group,Civic Centre,Potentially Surplus,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,14394,154934,1958,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5654527814785, 43.6437720275364]]}"
658,658,003007-B01,POLICE NO. 33 DIVISION,50 UPJOHN RD,TORONTO,Don Valley East,Metro Toronto,North,Internal Services Group,Police Station/Facility,City Use,Toronto Police Service,Facilities Management & Real Estate Services,City of Toronto,2592,27900,1981,16,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3500654360349, 43.7510730420417]]}"
659,659,002335-B01,CONNORVALE PARK - STORAGE BLDG,250 VALERMO DR,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Park Storage Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,181,1948,,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5297071020061, 43.6097648592317]]}"
660,660,004835-B01,BELLBURY PARK - TENNIS CLUBHOUSE & WASHROOM,55 VAN HORNE AVE,TORONTO,Don Valley North,North York,North,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,186,2002,1975,17,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3609358492948, 43.7844734731945]]}"
661,661,004827-B02,PLEASANTVIEW ARENA & COMMUNITY CENTRE,545 VAN HORNE AVE,TORONTO,Don Valley North,North York,North,Citizen-Focused Services Group A,Arena & Community Rec Center,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,3636,39138,,17,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3367048344126, 43.787002769954]]}"
662,662,000728-B01,DOVERCOURT BOYS & GIRLS CLUB,180 WESTMORELAND AVE,TORONTO,Davenport,Toronto (Old),South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,Association of Community Centres,"Parks, Forestry & Recreation",City of Toronto,2227,23967,1958,9,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4326922894381, 43.6658064451561]]}"
663,663,003285-B01,MOUNT DENNIS PUBLIC LIBRARY,1123 WESTON RD,TORONTO,York South-Weston,York,West,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,1054,11345,1950,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4882214097646, 43.6866312158819]]}"
664,664,007363-B01,ACQUIRED BUILDING FOR FUTURE DAYCARE,1234 WESTON RD,TORONTO,York South-Weston,None,West,Citizen-Focused Services Group A,Child Care Centre,City Use,Children's Services,Children's Services,City of Toronto,265,2852,1919,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4930578953141, 43.688032556703]]}"
665,665,007257-B01,MOUNT DENNIS EARLY LEARNING CHILD CARE CENTRE,1296 WESTON RD,TORONTO,York South-Weston,York,West,None,Child Care Centre,City Use,Landlord,Children's Services,Third Party Organization,683,7350,1988,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4960590118251, 43.6890571556346]]}"
666,666,000579-B13,HUMBER WASTEWATER TP - NORTH BOILER ROOM,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,162,1744,1989,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
667,667,000579-B53,HUMBER WASTEWATER TP - FUTURE MAINTENANCE BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,230,2476,1960,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
668,668,000579-B56,HUMBER WASTEWATER TP - RAS CONTROL ROOM,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,88,947,1968,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
669,669,000579-B16,HUMBER WASTEWATER TP - FERROUS CHLORIDE BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,170,1830,1989,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
670,670,002322-B01,WESBURN MANOR,400 THE WEST MALL,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Long-Term Care Facility,City Use,Long-Term Care Homes & Services,Long-Term Care Homes & Services,City of Toronto,14016,150872,2003,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5675267161358, 43.6437353738767]]}"
671,671,002819-B01,BROADACRES PARK - APPLEWOOD SHAVER HOUSE,450 THE WEST MALL,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Museum/Heritage,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,347,3730,1850,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5687623198039, 43.6480514864334]]}"
672,672,002826-B03,VALLEYFIELD PARK - ICE RINK COMPRESSOR BLDG,35 THE WESTWAY,TORONTO,Etobicoke Centre,Toronto (Amal),West,Citizen-Focused Services Group A,Outdoor Rink Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,42,450,,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5342800433559, 43.6951961065504]]}"
673,673,002826-B02,VALLEYFIELD PARK - RINK CHANGEROOM / FIELDHOUSE,35 THE WESTWAY,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Rink Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,160,1722,1965,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5342800433559, 43.6951961065504]]}"
674,674,004827-B01,PLEASANTVIEW PUBLIC LIBRARY,575 VAN HORNE AVE,TORONTO,Don Valley North,North York,North,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Toronto Public Library Board,650,7000,1975,17,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3354447860664, 43.7875616889359]]}"
675,675,005464-B08,DUFFERIN WASTE MANAGEMENT FACILITY - TWO ORGANIC DIGESTERS,35 VANLEY CRES,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group B,Oil/Chemical Tank,Potentially Surplus,Solid Waste Management,Solid Waste Management,City of Toronto,223,2400,2002,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4707423389444, 43.7617233107838]]}"
676,676,005464-B10,DUFFERIN WASTE MANAGEMENT FACILITY - PERSONNEL BUILDING-B250,35 VANLEY CRES,TORONTO,York Centre,Toronto (Amal),North,Citizen-Focused Services Group B,Office Building - Large,City Use,Solid Waste Management,Solid Waste Management,City of Toronto,800,8610,2011,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4707423389444, 43.7617233107838]]}"
677,677,005464-B07,DUFFERIN WASTE MANAGEMENT FACILITY - TRANSFER STATION - B300,35 VANLEY CRES,TORONTO,York Centre,Metro Toronto,North,Citizen-Focused Services Group B,Transfer Station,Potentially Surplus,Solid Waste Management,Solid Waste Management,City of Toronto,4229,45522,1999,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4707423389444, 43.7617233107838]]}"
678,678,000549-B21,EXPLACE - WORLD SUBSTATION (ELECTRICAL),2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Yard Service Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,122,1313,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
679,679,000549-B51,"EXPLACE - R.A.W.F. CUBICLE (EAST, UNDER GARDINER)",2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Yard Service Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,543,5845,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
680,680,004454-B01,EXPLACE - TTC GATES,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Miscellaneous Facility,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,50,538,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
681,681,000549-B35,EXPLACE - SCADDING PIONEER LOG CABIN,2 STRACHAN AVE,TORONTO,Spadina-Fort York,Toronto (Old),South,Other Organizations,Museum/Heritage,City Use,Economic Development & Culture,Exhibition Place Board,City of Toronto,40,432,1958,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4101328225122, 43.6348395136225]]}"
682,682,000579-B10,HUMBER WASTEWATER TP - NORTH PRIMARY MCC ROOM,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,160,1722,2012,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
683,683,000579-B45,HUMBER WASTEWATER TP - DIGESTER 8 ROOF ACCESS HOUSE,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,9,97,2005,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
684,684,000579-B57,HUMBER WASTEWATER TP - RAS PUMPING STN NORTH SWITCHGEAR BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,None,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,120,1292,1995,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
685,685,000579-B12,HUMBER WASTEWATER TP - AIR COMPRESSOR BLDG,130 THE QUEENSWAY,TORONTO,Etobicoke-Lakeshore,Metro Toronto,West,Citizen-Focused Services Group B,Treatment Plant,City Use,Toronto Water,Toronto Water,City of Toronto,120,1292,1988,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4802170147616, 43.6331563172613]]}"
686,686,002824-B01,WESTWAY PARK - OUTDOOR RINK SERVICE BLDG,175 THE WESTWAY,TORONTO,Etobicoke Centre,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Rink Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,445,4790,1966,2,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5417217810751, 43.6886576838972]]}"
687,687,002831-B03,PRINCE OF WALES PARK - RINK SERVICE BLDG & TENNIS CLUBHOUSE,1 THIRD ST,TORONTO,Etobicoke-Lakeshore,Etobicoke,West,Citizen-Focused Services Group A,Outdoor Rink Service Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,247,2659,1964,3,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4992815273736, 43.5988427849467]]}"
